"TimeStamp","axis1","axis2","axis3","steps","lux","inclineOff","inclineStanding","inclineSitting","inclineLying","vm"
2018-01-19 10:00:00,1017,631,736,12,0,0,10,0,0,1406
2018-01-19 10:00:10,732,658,504,11,0,0,10,0,0,1106
2018-01-19 10:00:20,843,927,1016,8,0,0,10,0,0,1614
2018-01-19 10:00:30,1097,977,1097,5,28,0,10,0,0,1834
2018-01-19 10:00:40,830,812,312,3,0,0,10,0,0,1203
2018-01-19 10:00:50,165,350,337,3,0,0,10,0,0,514
2018-01-19 10:01:00,521,326,661,4,0,0,10,0,0,903
2018-01-19 10:01:10,437,534,936,3,31,0,10,0,0,1163
2018-01-19 10:01:20,602,948,1128,5,57,0,10,0,0,1592
2018-01-19 10:01:30,7,675,607,1,0,4,0,0,6,908
2018-01-19 10:01:40,133,951,626,2,0,0,10,0,0,1147
2018-01-19 10:01:50,1123,609,1577,5,29,0,10,0,0,2030
2018-01-19 10:02:00,23,108,79,1,31,0,7,3,0,136
2018-01-19 10:02:10,270,90,672,2,0,0,10,0,0,730
2018-01-19 10:02:20,0,43,70,0,26,0,10,0,0,83
2018-01-19 10:02:30,53,273,107,1,0,0,5,5,0,298
2018-01-19 10:02:40,0,15,11,0,0,0,5,5,0,19
2018-01-19 10:02:50,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:03:00,42,114,89,2,0,0,8,2,0,151
2018-01-19 10:03:10,25,122,70,1,0,0,5,5,0,143
2018-01-19 10:03:20,0,0,0,0,0,0,7,3,0,0
2018-01-19 10:03:30,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:03:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:03:50,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:04:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:04:10,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:04:20,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:04:30,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:04:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:04:50,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:05:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:05:10,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:05:20,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:05:30,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:05:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:05:50,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:06:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:06:10,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:06:20,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:06:30,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:06:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:06:50,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:07:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:07:10,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:07:20,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:07:30,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:07:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:07:50,0,0,7,0,0,0,8,2,0,7
2018-01-19 10:08:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 10:08:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 10:08:20,0,0,0,0,0,0,5,5,0,0
2018-01-19 10:08:30,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:08:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:08:50,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:09:00,170,115,162,5,0,0,10,0,0,262
2018-01-19 10:09:10,629,250,311,16,0,0,10,0,0,745
2018-01-19 10:09:20,700,351,330,16,0,0,10,0,0,850
2018-01-19 10:09:30,281,210,277,7,0,0,10,0,0,447
2018-01-19 10:09:40,38,181,167,1,0,0,4,6,0,250
2018-01-19 10:09:50,235,299,274,7,0,0,10,0,0,469
2018-01-19 10:10:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:10:10,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:10:20,0,24,0,0,0,0,6,4,0,24
2018-01-19 10:10:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 10:10:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 10:10:50,0,0,0,0,0,0,0,10,0,0
2018-01-19 10:11:00,0,10,0,0,0,0,0,10,0,10
2018-01-19 10:11:10,190,400,267,3,0,0,10,0,0,518
2018-01-19 10:11:20,250,364,481,6,0,0,10,0,0,653
2018-01-19 10:11:30,219,515,339,4,0,0,10,0,0,655
2018-01-19 10:11:40,0,80,155,0,0,0,6,4,0,175
2018-01-19 10:11:50,286,276,329,3,0,0,10,0,0,516
2018-01-19 10:12:00,252,105,506,5,0,0,10,0,0,575
2018-01-19 10:12:10,80,129,128,3,0,0,10,0,0,199
2018-01-19 10:12:20,316,216,537,10,0,0,10,0,0,660
2018-01-19 10:12:30,783,234,521,19,0,0,10,0,0,970
2018-01-19 10:12:40,288,179,294,7,0,0,10,0,0,449
2018-01-19 10:12:50,64,97,155,2,0,0,7,3,0,194
2018-01-19 10:13:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:13:10,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:13:20,75,249,149,3,0,0,10,0,0,300
2018-01-19 10:13:30,0,13,28,0,0,0,10,0,0,31
2018-01-19 10:13:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 10:13:50,0,0,0,0,0,0,10,0,0,0
