Predicted Avtivity,UnixTime,LATITUDE,LONGITUDE,ALTITUDE,SPEED,HEADING,axis1,axis2,axis3,steps,lux,inclineOff,inclineStanding,inclineSitting,inclineLying,vm
Walking,1516391370,47.658951,-117.405619,150.020905,0.511703,350.754628,16,63,47,2,0,0,5,5,0,81
Walking,1516391380,47.661562,-117.40625,554.857056,0.362232,150.871007,0,48,21,0,0,0,5,5,0,53
Walking,1516391390,47.661484,-117.406185,554.637207,0.481599,135.05777,0,17,31,0,0,0,10,0,0,36
Walking,1516391400,47.661468,-117.406162,556.567566,0.626974,38.2218,0,87,14,0,0,0,10,0,0,89
Walking,1516391410,47.661479,-117.406149,556.621094,0.633758,129.348915,10,149,98,2,0,0,8,2,0,179
Walking,1516391420,47.661455,-117.406106,557.134644,2.09599,241.301574,0,0,0,0,0,0,7,3,0,0
Walking,1516391430,47.661449,-117.406122,557.817078,0.518952,345.641331,0,49,23,0,0,0,3,7,0,55
Walking,1516391440,47.661466,-117.406128,557.764648,0.650665,53.175303,3,66,32,0,0,0,7,3,0,74
Walking,1516391450,47.66147,-117.40612,558.240723,0.348291,355.120808,6,15,38,1,0,0,5,5,0,42
Walking,1516391460,47.661473,-117.406121,559.836304,0.39807,313.061621,0,0,0,0,0,0,0,10,0,0
Walking,1516391470,47.661479,-117.406131,560.276062,0.429229,232.309834,0,77,8,0,0,0,6,4,0,78
Walking,1516391480,47.661476,-117.406138,560.310852,0.727243,163.300556,0,108,27,0,0,0,10,0,0,112
Walking,1516391490,47.661465,-117.406133,560.249329,0.629583,307.117081,14,46,37,0,0,0,9,1,0,61
Walking,1516391500,47.661475,-117.406153,559.727173,1.170063,346.27549,23,110,131,1,0,0,2,8,0,173
Walking,1516391510,47.661485,-117.406156,559.430359,0.2859,345.487389,10,65,17,1,0,0,2,8,0,68
Walking,1516391520,47.661489,-117.406158,559.580566,0.441501,25.707592,20,118,32,1,0,0,4,6,0,124
Walking,1516391530,47.661504,-117.406147,559.970642,1.452868,318.11619,5,41,39,0,0,0,6,4,0,57
Walking,1516391540,47.661562,-117.406223,563.092651,1.384031,144.622205,5,91,21,1,0,0,3,7,0,94
Walking,1516391550,47.661533,-117.406193,564.351013,0.526332,140.283255,2,74,36,0,0,0,2,8,0,83
