"TimeStamp","axis1","axis2","axis3","steps","lux","inclineOff","inclineStanding","inclineSitting","inclineLying","vm"
2018-01-19 18:00:00,0,0,0,0,0,10,0,0,0,0
2018-01-19 18:00:10,0,0,0,0,0,10,0,0,0,0
2018-01-19 18:00:20,54,166,110,1,0,0,9,1,0,207
2018-01-19 18:00:30,377,348,402,16,0,0,10,0,0,652
2018-01-19 18:00:40,323,327,249,10,0,0,10,0,0,523
2018-01-19 18:00:50,76,171,208,3,0,0,10,0,0,280
2018-01-19 18:01:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:01:10,79,271,300,3,0,0,10,0,0,412
2018-01-19 18:01:20,8,210,212,0,0,0,10,0,0,299
2018-01-19 18:01:30,3,69,136,0,0,0,10,0,0,153
2018-01-19 18:01:40,0,65,146,0,0,0,10,0,0,160
2018-01-19 18:01:50,97,181,378,5,0,0,10,0,0,431
2018-01-19 18:02:00,14,129,392,1,0,0,9,1,0,413
2018-01-19 18:02:10,9,104,106,0,0,0,9,1,0,149
2018-01-19 18:02:20,52,404,239,3,0,0,6,4,0,473
2018-01-19 18:02:30,68,198,331,4,0,0,10,0,0,392
2018-01-19 18:02:40,0,42,0,0,0,0,10,0,0,42
2018-01-19 18:02:50,0,0,109,0,0,0,9,1,0,109
2018-01-19 18:03:00,27,63,186,1,0,0,2,8,0,199
2018-01-19 18:03:10,58,236,317,4,0,0,7,3,0,400
2018-01-19 18:03:20,40,297,337,3,0,0,6,4,0,451
2018-01-19 18:03:30,22,277,401,2,0,0,10,0,0,488
2018-01-19 18:03:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:03:50,0,57,75,0,0,0,8,2,0,95
2018-01-19 18:04:00,53,250,359,3,0,0,6,4,0,441
2018-01-19 18:04:10,52,215,293,3,0,0,9,1,0,368
2018-01-19 18:04:20,75,243,206,4,0,0,10,0,0,328
2018-01-19 18:04:30,0,8,0,0,0,0,0,10,0,8
2018-01-19 18:04:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:04:50,0,15,15,0,0,0,2,8,0,22
2018-01-19 18:05:00,0,82,68,0,0,0,3,7,0,107
2018-01-19 18:05:10,23,132,209,2,0,0,9,1,0,249
2018-01-19 18:05:20,183,318,306,8,0,0,10,0,0,478
2018-01-19 18:05:30,40,220,400,2,0,0,8,2,0,459
2018-01-19 18:05:40,65,265,167,1,0,0,0,10,0,320
2018-01-19 18:05:50,101,147,163,4,0,0,10,0,0,242
2018-01-19 18:06:00,33,137,140,1,0,0,9,1,0,199
2018-01-19 18:06:10,6,244,109,1,0,0,8,2,0,268
2018-01-19 18:06:20,46,337,127,1,0,0,1,9,0,364
2018-01-19 18:06:30,0,26,66,0,0,0,3,7,0,71
2018-01-19 18:06:40,2,22,80,0,0,0,4,6,0,83
2018-01-19 18:06:50,0,53,104,0,0,0,7,3,0,117
2018-01-19 18:07:00,5,0,22,0,0,0,9,1,0,23
2018-01-19 18:07:10,0,21,33,0,0,0,9,1,0,40
2018-01-19 18:07:20,9,38,62,0,0,0,8,2,0,74
2018-01-19 18:07:30,11,79,202,1,0,0,8,2,0,218
2018-01-19 18:07:40,38,53,129,1,0,0,9,1,0,145
2018-01-19 18:07:50,33,58,127,2,0,0,7,3,0,144
2018-01-19 18:08:00,9,18,126,0,0,0,9,1,0,128
2018-01-19 18:08:10,9,61,110,0,0,0,8,2,0,127
2018-01-19 18:08:20,11,40,99,0,0,0,8,2,0,108
2018-01-19 18:08:30,71,195,445,3,0,0,10,0,0,492
2018-01-19 18:08:40,5,19,63,0,0,0,4,6,0,66
2018-01-19 18:08:50,0,67,73,0,0,0,2,8,0,100
2018-01-19 18:09:00,62,215,320,2,0,0,5,5,0,391
2018-01-19 18:09:10,0,42,63,0,0,0,10,0,0,76
2018-01-19 18:09:20,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:09:30,5,68,97,0,0,0,9,1,0,119
2018-01-19 18:09:40,89,176,272,3,0,0,10,0,0,336
2018-01-19 18:09:50,67,184,259,2,0,0,5,5,0,325
2018-01-19 18:10:00,0,0,12,0,0,0,4,6,0,12
2018-01-19 18:10:10,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:10:20,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:10:30,13,46,110,1,0,0,2,8,0,120
2018-01-19 18:10:40,7,6,96,0,0,0,6,4,0,97
2018-01-19 18:10:50,0,55,71,0,0,0,8,2,0,90
2018-01-19 18:11:00,28,100,146,1,0,0,8,2,0,180
2018-01-19 18:11:10,41,165,327,2,0,0,4,6,0,369
2018-01-19 18:11:20,13,28,167,1,0,0,2,8,0,170
2018-01-19 18:11:30,239,206,236,2,0,0,10,0,0,395
2018-01-19 18:11:40,11,272,198,0,0,0,7,3,0,337
2018-01-19 18:11:50,0,46,31,0,0,0,1,9,0,56
2018-01-19 18:12:00,0,65,26,0,0,0,4,6,0,71
2018-01-19 18:12:10,0,117,23,0,0,0,5,5,0,120
2018-01-19 18:12:20,0,60,0,0,0,0,8,2,0,60
2018-01-19 18:12:30,0,14,146,0,0,0,6,4,0,147
2018-01-19 18:12:40,0,21,41,0,0,0,8,2,0,47
2018-01-19 18:12:50,0,140,37,0,0,0,8,2,0,145
2018-01-19 18:13:00,0,35,78,0,0,0,8,2,0,86
2018-01-19 18:13:10,0,76,99,0,0,0,8,2,0,125
2018-01-19 18:13:20,0,43,112,0,0,0,7,3,0,120
2018-01-19 18:13:30,0,19,44,0,0,0,2,8,0,48
2018-01-19 18:13:40,0,66,63,0,0,0,7,3,0,92
2018-01-19 18:13:50,0,18,42,0,0,0,0,10,0,46
2018-01-19 18:14:00,0,7,74,0,0,0,2,8,0,75
2018-01-19 18:14:10,0,31,25,0,0,0,3,7,0,40
2018-01-19 18:14:20,0,102,173,0,0,0,8,2,0,201
2018-01-19 18:14:30,5,107,143,1,0,0,5,5,0,179
2018-01-19 18:14:40,0,49,97,0,0,0,5,5,0,109
2018-01-19 18:14:50,0,30,50,0,0,0,6,4,0,59
2018-01-19 18:15:00,0,65,66,0,0,0,2,8,0,93
2018-01-19 18:15:10,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:15:20,0,4,0,0,0,0,10,0,0,4
2018-01-19 18:15:30,0,5,0,0,0,0,10,0,0,5
2018-01-19 18:15:40,8,26,116,0,0,0,5,5,0,120
2018-01-19 18:15:50,0,41,29,0,0,0,10,0,0,51
2018-01-19 18:16:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:16:10,0,27,60,0,0,0,6,4,0,66
2018-01-19 18:16:20,0,22,49,0,0,0,3,7,0,54
2018-01-19 18:16:30,0,12,0,0,0,0,0,10,0,12
2018-01-19 18:16:40,0,73,176,0,0,0,8,2,0,191
2018-01-19 18:16:50,0,34,74,0,0,0,7,3,0,82
2018-01-19 18:17:00,0,35,0,0,0,0,9,1,0,35
2018-01-19 18:17:10,0,58,52,0,0,0,6,4,0,78
2018-01-19 18:17:20,19,81,243,0,0,0,6,4,0,257
2018-01-19 18:17:30,0,22,36,0,0,0,2,8,0,43
2018-01-19 18:17:40,0,111,171,0,0,0,7,3,0,204
2018-01-19 18:17:50,0,42,176,0,0,0,8,2,0,181
2018-01-19 18:18:00,63,149,460,3,0,0,7,3,0,488
2018-01-19 18:18:10,0,26,72,0,0,0,4,6,0,77
2018-01-19 18:18:20,0,11,26,0,0,0,5,5,0,29
2018-01-19 18:18:30,0,11,84,0,0,0,5,5,0,85
2018-01-19 18:18:40,0,25,27,0,0,0,6,4,0,37
2018-01-19 18:18:50,0,49,83,0,0,0,8,2,0,97
2018-01-19 18:19:00,0,18,39,0,0,0,9,1,0,43
2018-01-19 18:19:10,0,31,19,0,0,0,10,0,0,37
2018-01-19 18:19:20,0,37,101,0,0,0,7,3,0,108
2018-01-19 18:19:30,0,32,105,0,0,0,8,2,0,110
2018-01-19 18:19:40,0,55,81,0,0,0,9,1,0,98
2018-01-19 18:19:50,4,65,127,0,0,0,7,3,0,143
2018-01-19 18:20:00,16,258,411,0,0,0,6,4,0,486
2018-01-19 18:20:10,78,247,336,5,0,0,10,0,0,425
2018-01-19 18:20:20,42,97,229,1,0,0,7,3,0,253
2018-01-19 18:20:30,0,0,8,0,0,0,10,0,0,8
2018-01-19 18:20:40,0,34,66,0,0,0,5,5,0,75
2018-01-19 18:20:50,15,68,222,1,0,0,7,3,0,233
2018-01-19 18:21:00,105,241,360,5,0,0,10,0,0,446
2018-01-19 18:21:10,188,426,311,9,0,0,10,0,0,560
2018-01-19 18:21:20,235,456,481,8,0,0,10,0,0,704
2018-01-19 18:21:30,15,120,119,1,0,0,8,2,0,170
2018-01-19 18:21:40,31,201,385,1,0,0,7,3,0,436
2018-01-19 18:21:50,18,306,367,1,0,0,9,1,0,479
2018-01-19 18:22:00,20,219,253,2,0,0,9,1,0,336
2018-01-19 18:22:10,99,209,282,1,0,0,10,0,0,365
2018-01-19 18:22:20,28,263,272,1,0,0,5,5,0,380
2018-01-19 18:22:30,47,213,173,2,0,0,2,8,0,279
2018-01-19 18:22:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:22:50,0,17,9,0,0,0,0,10,0,20
2018-01-19 18:23:00,0,2,0,0,0,0,0,10,0,2
2018-01-19 18:23:10,0,34,0,0,0,0,2,8,0,34
2018-01-19 18:23:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:23:30,0,26,0,0,0,0,5,5,0,26
2018-01-19 18:23:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:23:50,0,12,0,0,0,0,10,0,0,12
2018-01-19 18:24:00,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:24:10,0,35,0,0,0,0,10,0,0,35
2018-01-19 18:24:20,0,73,9,0,0,0,6,4,0,74
2018-01-19 18:24:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:24:40,0,10,20,0,0,0,0,10,0,23
2018-01-19 18:24:50,0,15,24,0,0,0,0,10,0,29
2018-01-19 18:25:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:25:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:25:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:25:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:25:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:25:50,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:26:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:26:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:26:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:26:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:26:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:26:50,18,127,159,1,0,0,3,7,0,205
2018-01-19 18:27:00,0,55,59,0,37,0,10,0,0,81
2018-01-19 18:27:10,56,240,344,3,0,0,6,4,0,424
2018-01-19 18:27:20,5,24,101,0,0,0,1,9,0,104
2018-01-19 18:27:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:27:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:27:50,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:28:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:28:10,0,0,1,0,0,0,0,10,0,1
2018-01-19 18:28:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:28:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:28:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:28:50,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:29:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:29:10,0,0,24,0,0,0,1,9,0,24
2018-01-19 18:29:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:29:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:29:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:29:50,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:30:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:30:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:30:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:30:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:30:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:30:50,0,0,5,0,0,0,0,10,0,5
2018-01-19 18:31:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:31:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:31:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:31:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:31:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:31:50,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:32:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:32:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:32:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:32:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:32:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:32:50,0,0,11,0,0,0,0,10,0,11
2018-01-19 18:33:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:33:10,0,0,9,0,0,0,0,10,0,9
2018-01-19 18:33:20,0,28,0,0,0,0,10,0,0,28
2018-01-19 18:33:30,0,2,0,0,0,0,10,0,0,2
2018-01-19 18:33:40,0,0,0,0,0,0,10,0,0,0
2018-01-19 18:33:50,0,14,0,0,0,0,3,7,0,14
2018-01-19 18:34:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:34:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:34:20,0,0,3,0,0,0,0,10,0,3
2018-01-19 18:34:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:34:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:34:50,0,23,5,0,0,0,2,8,0,24
2018-01-19 18:35:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:35:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:35:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:35:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:35:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:35:50,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:36:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:36:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:36:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:36:30,0,0,29,0,0,0,0,10,0,29
2018-01-19 18:36:40,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:36:50,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:37:00,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:37:10,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:37:20,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:37:30,0,0,0,0,0,0,0,10,0,0
2018-01-19 18:37:40,0,0,0,0,0,0,0,10,0,0
