TimeStamp,LOCAL DATE,LOCAL TIME,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,axis1,axis2,axis3,steps,lux,inclineOff,inclineStanding,inclineSitting,inclineLying,vm
01/19/2018 11:49:30,1/19/2018,11:49:37,47.658951,N,-117.405619,W,150.020905,0.511703,350.75462799999997,16,63,47,2,0,0,5,5,0,81
01/19/2018 11:49:40,1/19/2018,11:49:47,47.661561999999996,N,-117.40625,W,554.857056,0.362232,150.87100700000002,0,48,21,0,0,0,5,5,0,53
01/19/2018 11:49:50,1/19/2018,11:49:57,47.661484,N,-117.40618500000001,W,554.637207,0.481599,135.05777,0,17,31,0,0,0,10,0,0,36
01/19/2018 11:50:00,1/19/2018,11:50:07,47.661468,N,-117.40616200000001,W,556.567566,0.626974,38.2218,0,87,14,0,0,0,10,0,0,89
01/19/2018 11:50:10,1/19/2018,11:50:17,47.661479,N,-117.406149,W,556.6210940000001,0.633758,129.34891499999998,10,149,98,2,0,0,8,2,0,179
01/19/2018 11:50:20,1/19/2018,11:50:27,47.661455,N,-117.40610600000001,W,557.1346440000001,2.09599,241.30157400000002,0,0,0,0,0,0,7,3,0,0
01/19/2018 11:50:30,1/19/2018,11:50:37,47.661449,N,-117.406122,W,557.817078,0.5189520000000001,345.641331,0,49,23,0,0,0,3,7,0,55
01/19/2018 11:50:40,1/19/2018,11:50:47,47.661466,N,-117.40612800000001,W,557.7646480000001,0.6506649999999999,53.175303,3,66,32,0,0,0,7,3,0,74
01/19/2018 11:50:50,1/19/2018,11:50:57,47.66147,N,-117.40612,W,558.240723,0.34829099999999996,355.120808,6,15,38,1,0,0,5,5,0,42
01/19/2018 11:51:00,1/19/2018,11:51:07,47.661473,N,-117.406121,W,559.836304,0.39807,313.061621,0,0,0,0,0,0,0,10,0,0
01/19/2018 11:51:10,1/19/2018,11:51:17,47.661479,N,-117.406131,W,560.276062,0.42922899999999997,232.309834,0,77,8,0,0,0,6,4,0,78
01/19/2018 11:51:20,1/19/2018,11:51:27,47.661476,N,-117.40613799999998,W,560.310852,0.7272430000000001,163.300556,0,108,27,0,0,0,10,0,0,112
01/19/2018 11:51:30,1/19/2018,11:51:37,47.661465,N,-117.40613300000001,W,560.249329,0.629583,307.117081,14,46,37,0,0,0,9,1,0,61
01/19/2018 11:51:40,1/19/2018,11:51:47,47.661475,N,-117.406153,W,559.727173,1.1700629999999999,346.27549,23,110,131,1,0,0,2,8,0,173
01/19/2018 11:51:50,1/19/2018,11:51:57,47.661485,N,-117.40615600000001,W,559.430359,0.2859,345.487389,10,65,17,1,0,0,2,8,0,68
01/19/2018 11:52:00,1/19/2018,11:52:07,47.661489,N,-117.406158,W,559.580566,0.44150100000000003,25.707592,20,118,32,1,0,0,4,6,0,124
01/19/2018 11:52:10,1/19/2018,11:52:17,47.661504,N,-117.406147,W,559.970642,1.452868,318.11619,5,41,39,0,0,0,6,4,0,57
01/19/2018 11:52:20,1/19/2018,11:52:27,47.661561999999996,N,-117.406223,W,563.0926509999999,1.384031,144.622205,5,91,21,1,0,0,3,7,0,94
01/19/2018 11:52:30,1/19/2018,11:52:37,47.661533,N,-117.40619299999999,W,564.351013,0.526332,140.283255,2,74,36,0,0,0,2,8,0,83
01/19/2018 11:52:40,1/19/2018,11:52:47,47.661527,N,-117.40618500000001,W,564.449768,0.35013,209.192491,18,38,58,1,0,0,2,8,0,72
01/19/2018 11:52:50,1/19/2018,11:52:57,47.661503,N,-117.406205,W,564.867249,0.8982120000000001,140.441201,0,0,0,0,0,0,0,10,0,0
01/19/2018 11:53:00,1/19/2018,11:53:07,47.661476,N,-117.406172,W,564.465271,1.093367,71.00279599999999,0,11,0,0,0,0,4,6,0,11
01/19/2018 11:53:10,1/19/2018,11:53:17,47.661486,N,-117.406129,W,563.6815190000001,1.477011,348.772536,0,26,36,0,0,0,10,0,0,45
01/19/2018 11:53:20,1/19/2018,11:53:27,47.661519,N,-117.40613799999998,W,558.360779,1.7722200000000001,175.041115,2,82,126,0,0,0,9,1,0,151
01/19/2018 11:53:30,1/19/2018,11:53:37,47.661484,N,-117.40613400000001,W,558.637146,0.47862200000000005,265.712061,6,81,4,0,0,0,6,4,0,82
01/19/2018 11:53:40,1/19/2018,11:53:47,47.661483000000004,N,-117.406144,W,558.845276,1.602309,182.634104,5,106,21,0,0,0,4,6,0,109
01/19/2018 11:53:50,1/19/2018,11:53:57,47.661456,N,-117.40614599999999,W,551.453674,0.718266,179.390919,6,102,29,0,0,0,9,1,0,107
01/19/2018 11:54:00,1/19/2018,11:54:07,47.661401,N,-117.406145,W,542.414978,1.088597,331.905568,12,66,81,1,0,0,9,1,0,106
01/19/2018 11:54:10,1/19/2018,11:54:17,47.661403,N,-117.406147,W,542.807129,0.254405,3.2055860000000003,0,0,0,0,0,0,10,0,0,0
01/19/2018 11:54:20,1/19/2018,11:54:27,47.661417,N,-117.40614599999999,W,542.949341,1.075526,62.17193,0,59,26,0,0,0,10,0,0,65
01/19/2018 11:54:30,1/19/2018,11:54:37,47.661429,N,-117.40611100000001,W,543.127869,1.431734,352.267728,1,145,28,0,0,0,10,0,0,148
01/19/2018 11:54:40,1/19/2018,11:54:47,47.661456,N,-117.406116,W,544.136902,0.890926,28.647781,5,74,17,0,0,0,9,1,0,77
01/19/2018 11:54:50,1/19/2018,11:54:57,47.661493,N,-117.40608600000002,W,545.872375,1.562846,274.140228,0,80,23,0,0,0,7,3,0,84
01/19/2018 11:55:00,1/19/2018,11:55:07,47.661495,N,-117.406144,W,547.34845,1.6592650000000002,321.155946,13,132,59,1,0,0,10,0,0,146
01/19/2018 11:55:10,1/19/2018,11:55:17,47.661541,N,-117.406198,W,549.302429,1.137234,147.55678999999998,0,0,0,0,0,0,10,0,0,0
01/19/2018 11:55:20,1/19/2018,11:55:27,47.661504,N,-117.40616399999999,W,549.6724849999999,0.952833,202.185282,32,168,74,2,0,0,10,0,0,187
01/19/2018 11:55:30,1/19/2018,11:55:37,47.661478,N,-117.40618,W,550.037354,0.831131,132.365319,0,65,0,0,0,0,6,4,0,65
01/19/2018 11:55:40,1/19/2018,11:55:47,47.661453,N,-117.406139,W,550.322815,1.45191,359.612648,96,180,90,4,0,0,10,0,0,223
01/19/2018 11:55:50,1/19/2018,11:55:57,47.661471999999996,N,-117.40614,W,550.673218,1.247969,301.114921,2,57,58,0,0,0,4,6,0,82
01/19/2018 11:56:00,1/19/2018,11:56:07,47.661487,N,-117.406176,W,552.113342,0.213918,359.849741,11,105,17,1,0,0,2,8,0,107
01/19/2018 11:56:10,1/19/2018,11:56:17,47.66153,N,-117.406176,W,553.2822269999999,0.937607,102.728555,0,37,6,0,0,0,2,8,0,38
01/19/2018 11:56:20,1/19/2018,11:56:27,47.661524,N,-117.40613799999998,W,553.023254,0.566769,9.990401,2,133,60,0,0,0,4,6,0,146
01/19/2018 11:56:30,1/19/2018,11:56:37,47.661541,N,-117.40613400000001,W,552.9903559999999,1.2075879999999999,222.144652,12,166,55,1,0,0,4,6,0,176
01/19/2018 11:56:40,1/19/2018,11:56:47,47.661518,N,-117.40616399999999,W,552.991821,0.953901,211.986513,0,9,34,0,0,0,10,0,0,36
01/19/2018 11:56:50,1/19/2018,11:56:57,47.66149,N,-117.40619,W,553.0782469999999,0.495962,146.318373,2,83,66,0,0,0,10,0,0,107
01/19/2018 11:57:00,1/19/2018,11:57:07,47.661479,N,-117.40617900000001,W,553.099243,0.32822399999999996,245.829319,0,0,0,0,0,0,10,0,0,0
01/19/2018 11:57:10,1/19/2018,11:57:17,47.661475,N,-117.40619199999999,W,553.0323490000001,1.446015,89.18225799999999,0,33,40,0,0,0,10,0,0,52
01/19/2018 11:57:20,1/19/2018,11:57:27,47.661475,N,-117.40616999999999,W,553.41748,0.883749,191.07129799999998,1,105,51,0,0,0,10,0,0,117
01/19/2018 11:57:30,1/19/2018,11:57:37,47.661453,N,-117.406177,W,553.412537,1.153792,223.95629300000002,16,72,39,1,0,0,10,0,0,84
01/19/2018 11:57:40,1/19/2018,11:57:47,47.661440999999996,N,-117.406194,W,553.443176,0.656163,288.33983,0,48,44,0,0,0,2,8,0,66
01/19/2018 11:57:50,1/19/2018,11:57:57,47.661444,N,-117.40620700000001,W,553.517334,1.2633450000000002,132.09072,0,20,0,0,0,0,2,8,0,20
01/19/2018 11:58:00,1/19/2018,11:58:07,47.661415000000005,N,-117.40616100000001,W,553.075928,0.6762560000000001,124.998124,0,42,0,0,0,0,6,4,0,42
01/19/2018 11:58:10,1/19/2018,11:58:17,47.661407000000004,N,-117.406143,W,552.787903,0.264504,321.62219500000003,38,62,0,2,0,0,2,8,0,73
01/19/2018 11:58:20,1/19/2018,11:58:27,47.661465,N,-117.40621200000001,W,553.328491,2.424966,354.228419,0,51,54,0,0,0,10,0,0,75
01/19/2018 11:58:30,1/19/2018,11:58:37,47.661535,N,-117.406222,W,554.747131,2.0009639999999997,142.208438,0,0,0,0,0,0,10,0,0,0
01/19/2018 11:58:40,1/19/2018,11:58:47,47.661509,N,-117.40619199999999,W,555.395081,0.542974,157.237856,0,54,81,0,0,0,5,5,0,98
01/19/2018 11:58:50,1/19/2018,11:58:57,47.661458,N,-117.40616100000001,W,556.17804,0.926422,12.84557,8,177,32,0,0,0,8,2,0,181
